organization_id,org_name,state,county,counties,place,platform,platform_org_id,likely_school_district,include_in_rollout,notes
,Hardin ISD,TX,Liberty County,,,boardbook,1123,True,True,
,Hardin-Jefferson ISD,TX,Hardin County,,,boardbook,952,True,True,
,Harlandale ISD,TX,Bexar County,,,boardbook,1981,True,True,
,Harlem Consolidated School District,IL,Winnebago County,,,boardbook,1725,True,True,
,Harleton Independent School District,TX,Harrison County,,,boardbook,1864,True,True,
,Harlingen Consolidated Independent School District,TX,Cameron County,,,boardbook,1015,True,True,
,Harmony ISD,TX,Upshur County,,,boardbook,942,True,True,
,Harper Creek Community Schools,MI,Calhoun County,,,boardbook,1420,True,True,
,Harper Woods School District,MI,Wayne County,,,boardbook,1638,True,True,
,Harrison County School Board,MS,Harrison County,,,boardbook,2161,True,True,
,Harrison School District 36,IL,McHenry County,,,boardbook,1264,True,True,
,Hart Public Schools,MI,Oceana County,,,boardbook,1028,True,True,
,Harts Bluff ISD,TX,Titus County,,,boardbook,937,True,True,
,Harvard CUSD 50,IL,McHenry County,,,boardbook,1227,False,False,
,Harvey School District 152,IL,Cook County,,,boardbook,1735,True,True,
,Haskell CISD,TX,Haskell County,,,boardbook,2723,True,True,
,Hastings Public Schools,MN,Dakota County,,,boardbook,931,True,True,
,Hawkins Independent School District,TX,Wood County,,,boardbook,678,True,True,
,Hays CISD,TX,Hays County,,,boardbook,1858,True,True,
,Hazel Crest School District 152 1/2,IL,Cook County,,,boardbook,1401,True,True,
,Hazel Park Schools,MI,Oakland County,,,boardbook,1527,True,True,
,Hearne ISD,TX,Robertson County,,,boardbook,2705,True,True,
,Heart of Texas Behavioral Health Network,TX,McLennan County,,,boardbook,3207,False,False,
,Hedley Independent School District,TX,Donley County,,,boardbook,2684,True,True,
,Helix School District,OR,Umatilla County,,,boardbook,2585,True,True,
,Hemphill ISD,TX,Sabine County,,,boardbook,2578,True,True,
,Hempstead Independent School District,TX,Waller County,,,boardbook,2241,True,True,
,Henderson ISD,TX,Rusk County,,,boardbook,958,True,True,
,Henrietta ISD,TX,Clay County,,,boardbook,755,True,True,
,Hereford ISD,TX,Deaf Smith County,,,boardbook,2218,True,True,
,Hermantown Community Schools,MN,St. Louis County,,,boardbook,2711,True,True,
,Hermiston School District,OR,Umatilla County,,,boardbook,1544,True,True,
,Hico ISD,TX,Hamilton County,,,boardbook,656,True,True,
,Hidalgo ISD,TX,Hidalgo County,,,boardbook,2062,True,True,
,High Island ISD,TX,Galveston County,,,boardbook,3342,True,True,
,Highland ISD,TX,Bell County,,,boardbook,1398,True,True,
,Highland Park ISD- Dallas County,TX,Dallas County,,,boardbook,2024,True,True,
,Highland Park ISD-Potter County,TX,Potter County,,,boardbook,935,True,True,
,Hill City School,MN,Aitkin County,,,boardbook,1074,True,True,
,Hill College,TX,Bosque County,,,boardbook,1013,False,False,
,Hill County SSA,TX,Hill County,,,boardbook,2106,False,False,
,Hillsboro ISD,TX,Hill County,,,boardbook,953,True,True,
,Hillsboro School District 1J,OR,Washington County,,,boardbook,1540,True,True,
,Hinckley-Big Rock CUSD No.429,IL,DeKalb County,,,boardbook,1228,False,False,
,Hitchcock ISD,TX,Galveston County,,,boardbook,1009,True,True,
,Hoisington USD 431,KS,,,,boardbook,3406,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Holland ISD,TX,Bell County,,,boardbook,2290,True,True,
,Holland Township School,NJ,Hunterdon County,,,boardbook,1928,True,True,
,Hollandale School District,MS,Washington County,,,boardbook,2384,True,True,
,Holliday Independent School District,TX,Archer County,,,boardbook,1881,True,True,
,Holly Area Schools,MI,Oakland County,,,boardbook,1471,True,True,
,Holmes County Consolidated School District,MS,Harrison County,,,boardbook,974,True,True,
,Holt Public Schools,MI,Ingham County,,,boardbook,3237,True,True,
,Homedale Jt. School District 370,ID,Owyhee County,,,boardbook,2069,True,True,
,Homer CCSD 33C,IL,Will County,,,boardbook,1742,False,False,
,Homewood-Flossmoor Community HSD 233,IL,Cook County,,,boardbook,3639,False,False,
,Hondo Independent School District,TX,Medina County,,,boardbook,640,True,True,
,Honey Grove I.S.D.,TX,Fannin County,,,boardbook,1224,True,True,
,Hooks ISD,TX,Bowie County,,,boardbook,2309,True,True,
,Horizon Montessori Public Schools,TX,Hidalgo County,,,boardbook,2035,True,True,
,Houghton Lake Community Schools,MI,Roscommon County,,,boardbook,1030,True,True,
,Houston City College,TX,Harris County,,,boardbook,3045,False,False,
,Howard College,TX,Howard County,,,boardbook,1861,False,False,
,Howard Lake-Waverly-Winsted Public Schools,MN,Wright County,,,boardbook,1819,True,True,
,Howe Independent School District,TX,Grayson County,,,boardbook,3605,True,True,
,Howell Public Schools,MI,Livingston County,,,boardbook,1421,True,True,
,Hubbard ISD - Hill County,TX,Hill County,,,boardbook,2013,True,True,
,Huckabay ISD,TX,Erath County,,,boardbook,975,True,True,
,Hudson ISD,TX,Angelina County,,,boardbook,1672,True,True,
,Hudsonville Public Schools,MI,Ottawa County,,,boardbook,3245,True,True,
,Huffman ISD,TX,Harris County,,,boardbook,2641,True,True,
,Huntington ISD,TX,Angelina County,,,boardbook,946,True,True,
,Huntley Community School District 158,IL,McHenry County,,,boardbook,1422,True,True,
,Huntsville ISD,TX,Walker County,,,boardbook,736,True,True,
,Huron Intermediate School District,MI,Huron County,,,boardbook,961,True,True,
,Hutto ISD,TX,Williamson County,,,boardbook,749,True,True,
,Hydaburg City School District,AK,Prince of Wales-Hyder Census Area,,,boardbook,1529,True,True,
,Idalou ISD,TX,Lubbock County,,,boardbook,2327,True,True,
,Iditarod Area School District,AK,Yukon-Koyukuk Census Area,,,boardbook,2697,True,True,
,Illini Central CUSD #189,IL,Mason County,,,boardbook,701,False,False,
,Illinois Eastern Community Colleges,IL,Richland County,,,boardbook,2652,False,False,
,Illinois School District Agency,IL,Cook County,,,boardbook,1730,True,True,
,Imlay City Community Schools,MI,Lapeer County,,,boardbook,941,True,True,
,Independent School District #272 Eden Prairie Schools,MN,Hennepin County,,,boardbook,1589,True,True,
,Independent School District #361,MN,Koochiching County,,,boardbook,1332,True,True,
,Independent School District 31,MN,Beltrami County,,,boardbook,1297,True,True,
,Independent School District 316,MN,Itasca County,,,boardbook,1817,True,True,
,Independent School District 748,MN,Stearns County,,,boardbook,1516,True,True,
,Independent School District 761,MN,Steele County,,,boardbook,1055,True,True,
,Independent School District No. 465,MN,Meeker County,,,boardbook,1692,True,True,
,Ingham Intermediate School District,MI,Ingham County,,,boardbook,1274,True,True,
,Ingleside ISD,TX,San Patricio County,,,boardbook,787,True,True,
,Ingram ISD,TX,Kerr County,,,boardbook,3327,True,True,
,Intermediate District 287,MN,Hennepin County,,,boardbook,1201,False,False,
,Intermediate School District 917,MN,Dakota County,,,boardbook,1033,True,True,
,Ione School District,OR,Morrow County,,,boardbook,3364,True,True,
,Ionia County Intermediate School District,MI,Ionia County,,,boardbook,1181,True,True,
,Ionia Public Schools,MI,Ionia County,,,boardbook,1626,True,True,
,Iowa Park CISD,TX,Wichita County,,,boardbook,2788,True,True,
,Ira ISD,TX,Scurry County,,,boardbook,1440,True,True,
,Irion County ISD,TX,Irion County,,,boardbook,3319,True,True,
,Iron Mountain Public Schools,MI,Dickinson County,,,boardbook,2749,True,True,
,Irving Independent School District,TX,Dallas County,,,boardbook,828,True,True,
,ISD #186 - Pequot Lakes Public Schools,MN,Crow Wing County,,,boardbook,1743,True,True,
,ISD #696 - Ely Public Schools,MN,St. Louis County,,,boardbook,1352,True,True,
,ISD 199 Inver Grove Heights Schools,MN,Dakota County,,,boardbook,1694,True,True,
,ISD 640-Wabasso Public Schools,MN,Redwood County,,,boardbook,1696,True,True,
,Italy Independent School District,TX,Ellis County,,,boardbook,2171,True,True,
,Itasca Independent School District,TX,Hill County,,,boardbook,835,True,True,
,Itasca School District #10,IL,DuPage County,,,boardbook,1744,True,True,
,J. Sterling Morton High School District 201,IL,Cook County,,,boardbook,1387,True,True,
,Jackson County School District,MS,Jackson County,,,boardbook,1999,True,True,
,Jackson Local Schools,OH,Stark County,,,boardbook,778,True,True,
,Jacksonville ISD,TX,Cherokee County,,,boardbook,1207,True,True,
,Jacksonville School District #117,IL,Morgan County,,,boardbook,1241,True,True,
,Jarrell ISD,TX,Williamson County,,,boardbook,1933,True,True,
,Jasper ISD,TX,Jasper County,,,boardbook,2063,True,True,
,Jayton-Girard ISD,TX,Kent County,,,boardbook,2477,True,True,
,Jefferson Independent School District,TX,Marion County,,,boardbook,982,True,True,
,Jenison Public Schools,MI,Ottawa County,,,boardbook,1644,True,True,
,Jim Hogg County ISD,TX,Jim Hogg County,,,boardbook,2328,True,True,
,Jim Ned Consolidated Independent School District,TX,Taylor County,,,boardbook,1441,True,True,
,Joliet Township High School District 204,IL,Will County,,,boardbook,1212,True,True,
,Jonesboro Elementary School District 43,IL,Union County,,,boardbook,2523,True,True,
,Joppa - Maple Grove Unit District #38,IL,Massac County,,,boardbook,2825,False,False,
,Jordan School District,UT,Salt Lake County,,,boardbook,3248,True,True,
,Jordan School District #717,MN,Scott County,,,boardbook,1773,True,True,
,Joshua Independent School District,TX,Johnson County,,,boardbook,759,True,True,
,Jourdanton Independent School District,TX,Atascosa County,,,boardbook,1836,True,True,
,Juab School District,UT,Juab County,,,boardbook,1500,True,True,
,Judson ISD,TX,Bexar County,,,boardbook,1434,True,True,
,Junction Independent School District,TX,Kimble County,,,boardbook,753,True,True,
,Kalamazoo Public Schools,MI,Kalamazoo County,,,boardbook,3915,True,True,
,Kalamazoo RESA,MI,Kalamazoo County,,,boardbook,1619,True,True,
,Kaleva Norman Dickson School District / Bear Lake Schools,MI,Manistee County,,,boardbook,2092,True,True,
,Karnack ISD,TX,Harrison County,,,boardbook,3197,True,True,
,Karnes City ISD,TX,Karnes County,,,boardbook,977,True,True,
,Kaufman Independent School District,TX,Kaufman County,,,boardbook,2293,True,True,
,Keene ISD,TX,Johnson County,,,boardbook,1849,True,True,
,Keeneyville School District 20,IL,DuPage County,,,boardbook,1389,True,True,
,Keller Independent School District,TX,Tarrant County,,,boardbook,2320,True,True,
,Kelton ISD,TX,Wheeler County,,,boardbook,2321,True,True,
,Kemp Independent School District,TX,Kaufman County,,,boardbook,2338,True,True,
,Kenedy County-Wide Common School District,TX,Kenedy County,,,boardbook,2201,True,True,
,Kenedy ISD-Karnes County,TX,Karnes County,,,boardbook,1746,True,True,
,Kennard ISD,TX,Houston County,,,boardbook,1676,True,True,
,Kennedale Independent School District,TX,Tarrant County,,,boardbook,2219,True,True,
,Kenosha Unified School District,WI,Kenosha County,,,boardbook,2131,True,True,
,Kent ISD,MI,Kent County,,,boardbook,2589,True,True,
,Kentucky State Board of Licensure for Professional Engineers,KY,Franklin County,,,boardbook,1753,False,False,
,Kenyon Wanamingo Schools,MN,Goodhue County,,,boardbook,1811,True,True,
,Kerens Independent School District,TX,Navarro County,,,boardbook,897,True,True,
,Kermit ISD,TX,Winkler County,,,boardbook,2213,True,True,
,Kerrville Independent School District,TX,Kerr County,,,boardbook,684,True,True,
,Kewaunee School District,WI,Kewaunee County,,,boardbook,2139,True,True,
,Kildeer Countryside School District 96,IL,Lake County,,,boardbook,2806,True,True,
,Kilgore College,TX,Gregg County,,,boardbook,1011,False,False,
,Kilgore ISD,TX,Gregg County,,,boardbook,920,True,True,
,Killdeer Public School,ND,Dunn County,,,boardbook,2623,True,True,
,Killeen Independent School District,TX,Bell County,,,boardbook,1051,True,True,
,Kindred School District,ND,Cass County,,,boardbook,2856,True,True,
,King County Library System,WA,King County,,,boardbook,2778,False,False,
,Kingsley Area Schools,MI,Grand Traverse County,,,boardbook,2354,True,True,
,Kingsville ISD,TX,Kleberg County,,,boardbook,2237,True,True,
,Kirbyville CISD,TX,Jasper County,,,boardbook,954,True,True,
,Kittson Central School District,MN,Kittson County,,,boardbook,3193,True,True,
,Klamath County School District,OR,Klamath County,,,boardbook,1570,True,True,
,Klamath Falls City Schools,OR,Klamath County,,,boardbook,1567,True,True,
,Klein Independent School District,TX,Harris County,,,boardbook,921,True,True,
,KMS Public School,MN,Swift County,,,boardbook,709,True,True,
,Kodiak Island Borough School District,AK,Kodiak Island Borough,,,boardbook,3297,True,True,
,Komarek School District 94,IL,Cook County,,,boardbook,1230,True,True,
,Kountze ISD,TX,Hardin County,,,boardbook,1403,True,True,
,Krum ISD,TX,Denton County,,,boardbook,717,True,True,
,La Crosse USD 395,KS,,,,boardbook,2649,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,LA FERIA INDEPENDENT SCHOOL DISTRICT,TX,Cameron County,,,boardbook,1835,True,True,
,La Grange Independent School District,TX,Fayette County,,,boardbook,766,True,True,
,La Joya Independent School District,TX,Hidalgo County,,,boardbook,3263,True,True,
,La Porte Independent School District,TX,Harris County,,,boardbook,767,True,True,
,La Pryor ISD,TX,Zavala County,,,boardbook,960,True,True,
,La Vega ISD,TX,McLennan County,,,boardbook,870,True,True,
,La Vernia ISD,TX,Wilson County,,,boardbook,1470,True,True,
,La Villa ISD,TX,Hidalgo County,,,boardbook,1962,True,True,
,Lackland ISD,TX,Bexar County,,,boardbook,1983,True,True,
,Lafayette School Corporation,IN,Tippecanoe County,,,boardbook,1838,True,True,
,Lago Vista ISD,TX,Travis County,,,boardbook,3631,True,True,
,LaGrange School District 105,IL,Cook County,,,boardbook,1728,True,True,
,Laguna Department of Education,NM,Cibola County,,,boardbook,1520,False,False,
,Lake and Peninsula School District,AK,Anchorage Municipality,,,boardbook,1232,True,True,
,Lake Bluff School District 65,IL,Lake County,,,boardbook,1265,True,True,
,Lake County School District 7,OR,Lake County,,,boardbook,1557,True,True,
,Lake Crystal Wellcome Memorial Schools,MN,Blue Earth County,,,boardbook,1690,True,True,
,Lake Dallas Independent School District,TX,Denton County,,,boardbook,859,True,True,
,Lake Orion Community Schools,MI,Oakland County,,,boardbook,1518,True,True,
,Lake Pend Oreille School District #84,ID,Bonner County,,,boardbook,2582,True,True,
,Lake Ridge Schools,IN,Lake County,,,boardbook,2056,True,True,
,Lake Shore Public Schools,MI,Macomb County,,,boardbook,1620,True,True,
,Lake Travis Independent School District,TX,Travis County,,,boardbook,900,True,True,
,Lake Villa School District 41,IL,Lake County,,,boardbook,1255,True,True,
,Lake Worth ISD,TX,Tarrant County,,,boardbook,842,True,True,
,Lakeland Joint School District No. 272,ID,Kootenai County,,,boardbook,2129,True,True,
,Lakeshore Public Schools,MI,Berrien County,,,boardbook,1617,True,True,
,Lakeview Community Schools,MI,Montcalm County,,,boardbook,1070,True,True,
,Lakeview Public Schools,MN,Lyon County,,,boardbook,1089,True,True,
,Lakeview School District,MI,Calhoun County,,,boardbook,1167,True,True,
,Lakeville District Schools,MN,Dakota County,,,boardbook,1160,True,True,
,Lakeway MUD,TX,Travis County,,,boardbook,698,False,False,
,Lakewood Public Schools,MI,Barry County,,,boardbook,902,True,True,
,Lamar CISD,TX,Fort Bend County,,,boardbook,2273,True,True,
,Lamar County School District,MS,Lamar County,,,boardbook,782,True,True,
,Lamesa ISD,TX,Dawson County,,,boardbook,686,True,True,
,Lampasas Independent School District,TX,Lampasas County,,,boardbook,1901,True,True,
,Lancaster ISD,TX,Dallas County,,,boardbook,743,True,True,
,Lane Education Service District,OR,Lane County,,,boardbook,1565,False,False,
,Lansing School District,MI,Ingham County,,,boardbook,1579,True,True,
,Lansing School District 158,IL,Cook County,,,boardbook,3262,True,True,
,Lansing USD 469,KS,,,,boardbook,3640,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Lapeer Community Schools,MI,Lapeer County,,,boardbook,993,True,True,
,Laporte Public Schools #306,MN,Hubbard County,,,boardbook,1134,True,True,
,LaPoynor ISD,TX,Henderson County,,,boardbook,700,True,True,
,Laredo College,TX,Webb County,,,boardbook,2181,False,False,
,Laredo Independent School District,TX,Webb County,,,boardbook,2520,True,True,
,Lasara Independent School District,TX,Willacy County,,,boardbook,2296,True,True,
,Latexo Independent School District,TX,Houston County,,,boardbook,2196,True,True,
,Lawton Community Schools,MI,Van Buren County,,,boardbook,1622,True,True,
,Le Sueur-Henderson Public Schools,MN,Le Sueur County,,,boardbook,1666,True,True,
,Leakey ISD,TX,Real County,,,boardbook,706,True,True,
leander-isd-tx,Leander ISD,TX,Williamson County,,,boardbook,795,True,True,
,Lee College,TX,Harris County,,,boardbook,747,False,False,
,Lee College Foundation,TX,Harris County,,,boardbook,3903,False,False,
,Lee County Schools,MS,Lee County,,,boardbook,985,True,True,
,Lefors ISD,TX,Gray County,,,boardbook,973,True,True,
,Lemont High School District 210,IL,Cook County,,,boardbook,1271,True,True,
,Leon ISD,TX,Leon County,,,boardbook,1996,True,True,
,Leroy-Gridley USD 245,KS,,,,boardbook,2648,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Lester Prairie Schools,MN,McLeod County,,,boardbook,2562,True,True,
,Levelland ISD,TX,Hockley County,,,boardbook,2283,True,True,
,Lewis County Schools,WV,Lewis County,,,boardbook,2780,True,True,
,Lewiston-Altura Public Schools,MN,Winona County,,,boardbook,2341,True,True,
,Lewisville Independent School District,TX,Denton County,,,boardbook,1194,True,True,
,Lexington ISD,TX,Lee County,,,boardbook,1257,True,True,
,Leyden High School District 212,IL,Cook County,,,boardbook,1259,True,True,
,Liberty Hill ISD,TX,Williamson County,,,boardbook,929,True,True,
,Liberty Independent School District,TX,Liberty County,,,boardbook,725,True,True,
,Liberty-Eylau ISD,TX,Bowie County,,,boardbook,822,True,True,
,Libertyville Elementary District 70,IL,Lake County,,,boardbook,1784,False,False,
,Lincoln County School District,OR,Lincoln County,,,boardbook,2565,True,True,
,Lincoln ESD 156,IL,Cook County,,,boardbook,2505,True,True,
,Lincolnshire-Prairie View School District 103,IL,Lake County,,,boardbook,1204,True,True,
,Lincolnwood District 74,IL,Cook County,,,boardbook,1270,False,False,
,Linda Sokol Francis Brookfield Library,IL,Cook County,,,boardbook,3408,False,False,
,Lindale ISD,TX,Smith County,,,boardbook,2191,True,True,
,Linden-Kildare CISD,TX,Cass County,,,boardbook,739,True,True,
,Lindop School District 92,IL,Cook County,,,boardbook,1578,True,True,
,Lindsay ISD,TX,Cooke County,,,boardbook,1875,True,True,
,Lipan ISD,TX,Hood County,,,boardbook,1947,True,True,
,Lisle CUSD 202,IL,DuPage County,,,boardbook,1795,False,False,
,Little Cypress-Mauriceville CISD,TX,Orange County,,,boardbook,807,True,True,
,Little Elm ISD,TX,Denton County,,,boardbook,860,True,True,
,Little Falls Community Schools,MN,Morrison County,,,boardbook,903,True,True,
,Livingston ISD,TX,Polk County,,,boardbook,1664,True,True,
,Livonia Public Schools School District,MI,Wayne County,,,boardbook,1615,True,True,
,Llano ISD,TX,Llano County,,,boardbook,681,True,True,
,Lockhart Independent School District,TX,Caldwell County,,,boardbook,714,True,True,
,Lockney ISD,TX,Floyd County,,,boardbook,3335,True,True,
,Lockport School District 91,IL,Will County,,,boardbook,1496,True,True,
,Lombard School District 44,IL,DuPage County,,,boardbook,740,True,True,
,London Independent School District,TX,Nueces County,,,boardbook,996,True,True,
,Lone Oak Independent School District,TX,Hunt County,,,boardbook,2315,True,True,
,Long Prairie-Grey Eagle Public Schools,MN,Todd County,,,boardbook,1444,True,True,
,Longview ISD,TX,Gregg County,,,boardbook,2235,True,True,
,Loraine ISD,TX,Mitchell County,,,boardbook,4037,True,True,
,Lorena ISD,TX,McLennan County,,,boardbook,933,True,True,
,Lorenzo ISD,TX,Crosby County,,,boardbook,2435,True,True,
,Los Alamos Public Schools,NM,Los Alamos County,,,boardbook,2696,True,True,
,Los Fresnos CISD,TX,Cameron County,,,boardbook,887,True,True,
,Louise ISD,TX,Wharton County,,,boardbook,2107,True,True,
,Louisiana  Citizens Property Insurance Corporation,LA,East Baton Rouge Parish,,,boardbook,2594,False,False,
,Lovejoy Independent School District,TX,Collin County,,,boardbook,856,True,True,
,Lovelady Independent School District,TX,Houston County,,,boardbook,1078,True,True,
,Lubbock Independent School District,TX,Lubbock County,,,boardbook,869,True,True,
,Lubbock-Cooper ISD,TX,Lubbock County,,,boardbook,1703,True,True,
,Luling ISD,TX,Caldwell County,,,boardbook,1156,True,True,
,Lumberton ISD,TX,Hardin County,,,boardbook,851,True,True,
,Lyford CISD,TX,Willacy County,,,boardbook,1489,True,True,
,Lyme-Old Lyme Schools,CT,Lower Connecticut River Valley Planning Region,,,boardbook,2421,True,True,
,Lyon County School District,NV,Lyon County,,,boardbook,1027,True,True,
,Lyons School District 103,IL,Cook County,,,boardbook,1785,True,True,
,Lyons Township High School District 204,IL,Cook County,,,boardbook,1797,True,True,
,Lytle Independent School District,TX,Atascosa County,,,boardbook,1872,True,True,
,Mabank Independent School District,TX,Kaufman County,,,boardbook,1915,True,True,
,Macomb Community College,MI,Macomb County,,,boardbook,1312,False,False,
,Madison District Public Schools,MI,Oakland County,,,boardbook,1640,True,True,
,Madison Public Schools,CT,South Central Connecticut Planning Region,,,boardbook,2416,True,True,
,Madisonville CISD,TX,Madison County,,,boardbook,2059,True,True,
,Magnolia ISD,TX,Montgomery County,,,boardbook,793,True,True,
,Mahnomen ISD 432,MN,Mahnomen County,,,boardbook,3264,True,True,
,Mahtomedi Public Schools,MN,Washington County,,,boardbook,1077,True,True,
,Malakoff Independent School District,TX,Henderson County,,,boardbook,653,True,True,
,Mandaree School District,ND,McKenzie County,,,boardbook,2947,True,True,
,Manhattan School District 114,IL,Will County,,,boardbook,3363,True,True,
,Manistee Area Public Schools,MI,Manistee County,,,boardbook,1636,True,True,
,Manistee Intermediate School District,MI,Manistee County,,,boardbook,1079,True,True,
,Manor Independent School District,TX,Travis County,,,boardbook,938,True,True,
,Mansfield ISD,TX,Tarrant County,,,boardbook,1116,True,True,
,Maple Lake Public Schools,MN,Wright County,,,boardbook,1832,True,True,
,Marathon ISD,TX,Brewster County,,,boardbook,805,True,True,
,Marble Falls ISD,TX,Burnet County,,,boardbook,1042,True,True,
,Marengo CHSD 154,IL,McHenry County,,,boardbook,2789,False,False,
,Marengo Union Elementary CSD 165,IL,McHenry County,,,boardbook,1525,False,False,
,Marfa ISD,TX,Presidio County,,,boardbook,1076,True,True,
,Marion ISD,TX,Guadalupe County,,,boardbook,1985,True,True,
,Marlin Independent School District,TX,Falls County,,,boardbook,1890,True,True,
,Marquette Alger Regional Educational Service Agency,MI,Marquette County,,,boardbook,1137,False,False,
,Marquette Public Schools,MI,Marquette County,,,boardbook,1492,True,True,
,Marshall Independent School District,TX,Harrison County,,,boardbook,798,True,True,
,Mart ISD,TX,McLennan County,,,boardbook,2436,True,True,
,Martin's Mill ISD,TX,Van Zandt County,,,boardbook,2240,True,True,
,Martinsville ISD,TX,Nacogdoches County,,,boardbook,1280,True,True,
,Mary M. Knight School District,WA,Mason County,,,boardbook,2077,True,True,
,Marysville USD 364,KS,,,,boardbook,3224,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Mason ISD,TX,Mason County,,,boardbook,1905,True,True,
,Mason Public Schools,MI,Ingham County,,,boardbook,1099,True,True,
,Mathis Independent School District,TX,San Patricio County,,,boardbook,2742,True,True,
,Mattawan Consolidated School,MI,Van Buren County,,,boardbook,1508,True,True,
,Maud ISD,TX,Bowie County,,,boardbook,1889,True,True,
,Maypearl ISD,TX,Ellis County,,,boardbook,863,True,True,
,Mayville Community Schools,MI,Tuscola County,,,boardbook,2352,True,True,
,Maywood School District 89,IL,Cook County,,,boardbook,1713,True,True,
,McAllen Independent School District,TX,Hidalgo County,,,boardbook,1045,True,True,
,McCall-Donnelly Jt. School District No. 421,ID,Valley County,,,boardbook,2127,True,True,
,McCamey ISD,TX,Upton County,,,boardbook,2015,True,True,
,McDade ISD,TX,Bastrop County,,,boardbook,2814,True,True,
,McFarland School District,WI,Dane County,,,boardbook,1757,True,True,
,McKinney ISD,TX,Collin County,,,boardbook,2118,True,True,
,McLean County Unit District No. 5,IL,McLean County,,,boardbook,1482,False,False,
,McLean ISD,TX,Gray County,,,boardbook,2654,True,True,
,McLennan Community College,TX,McLennan County,,,boardbook,3991,False,False,
,McMullen County ISD,TX,McMullen County,,,boardbook,879,True,True,
,Mead School District,WA,Spokane County,,,boardbook,3922,True,True,
,Meadow ISD,TX,Terry County,,,boardbook,2250,True,True,
,Medford Public School,MN,Piscataquis County,,,boardbook,1173,True,True,
,Medford School District,OR,Jackson County,,,boardbook,1545,True,True,
,Medina Independent School District,TX,Bandera County,,,boardbook,702,True,True,
,Medina Valley ISD,TX,Medina County,,,boardbook,760,True,True,
,Melissa ISD,TX,Collin County,,,boardbook,716,True,True,
,Memphis ISD,TX,Hall County,,,boardbook,847,True,True,
,Menahga Public School District 821,MN,Wadena County,,,boardbook,940,True,True,
,Mendon Community Schools,MI,St. Joseph County,,,boardbook,1091,True,True,
,Mendota CCSD 289,IL,LaSalle County,,,boardbook,2543,False,False,
,Mendota High School,IL,LaSalle County,,,boardbook,1330,True,True,
,Mercedes ISD,TX,Hidalgo County,,,boardbook,2182,True,True,
,Meridian CUSD 223,IL,Ogle County,,,boardbook,1268,False,False,
,Merkel Independent School District,TX,Taylor County,,,boardbook,1399,True,True,
,Mesquite ISD,TX,Dallas County,,,boardbook,1314,True,True,
,Metamora CCSD 1,IL,Woodford County,,,boardbook,2386,False,False,
,Mexia ISD,TX,Limestone County,,,boardbook,1752,True,True,
,Meyersville ISD,TX,DeWitt County,,,boardbook,2286,True,True,
,Miami Independent School District,TX,Roberts County,,,boardbook,1883,True,True,
,Michigan Center Schools,MI,Jackson County,,,boardbook,1624,True,True,
,Michigan Independent Colleges & Universities,MI,Ingham County,,,boardbook,2174,False,False,
,Mid-State Education District,MN,Morrison County,,,boardbook,1808,False,False,
,Mid-Valley Special Education Cooperative,IL,Kane County,,,boardbook,1669,False,False,
,Middle Rio Grande Development Council,TX,Uvalde County,,,boardbook,1582,False,False,
,Middletown Public Schools,CT,Lower Connecticut River Valley Planning Region,,,boardbook,2423,True,True,
,Midland County ESA,MI,Midland County,,,boardbook,3303,False,False,
,Midland Independent School District,TX,Midland County,,,boardbook,641,True,True,
,Midlothian ISD,TX,Ellis County,,,boardbook,1700,True,True,
,Midway ISD,TX,McLennan County,,,boardbook,728,True,True,
,Midwest Central CUSD #191,IL,Mason County,,,boardbook,1206,False,False,
,Milam Appraisal District,TX,Milam County,,,boardbook,2998,False,False,
,Milam County Commissioners Court,TX,Milam County,,,boardbook,3085,False,False,
,Milano ISD,TX,Milam County,,,boardbook,1771,True,True,
,Mildred ISD,TX,Navarro County,,,boardbook,1032,True,True,
,Miles ISD,TX,Runnels County,,,boardbook,1337,True,True,
,Mill Creek Academy,MI,Grand Traverse County,,,boardbook,2800,True,True,
,Miller Grove ISD,TX,Hopkins County,,,boardbook,976,True,True,
,Millington Community Schools,MI,Tuscola County,,,boardbook,2551,True,True,
,Millsap ISD,TX,Parker County,,,boardbook,1603,True,True,
,Millstadt CCSD 160,IL,St. Clair County,,,boardbook,1486,False,False,
,Milton Freewater School District,OR,Umatilla County,,,boardbook,1546,True,True,
,Mineola Independent School District,TX,Wood County,,,boardbook,2269,True,True,
,Mineral County School District,NV,Mineral County,,,boardbook,3320,True,True,
,Mineral Point Schools,WI,Iowa County,,,boardbook,2067,True,True,
,Mineral Wells Independent School District,TX,Palo Pinto County,,,boardbook,957,True,True,
,Minidoka County School District,ID,Minidoka County,,,boardbook,2041,True,True,
,Minneapolis Public Schools Board of Education,MN,Hennepin County,,,boardbook,1807,True,True,
,Minnesota State Academies Board,MN,Rice County,,,boardbook,1131,False,False,
,Minnewaska Area Schools,MN,Pope County,,,boardbook,1335,True,True,
,Minooka Community High School,IL,Grundy County,,,boardbook,1417,True,True,
